#	Task	Context	TaskSentence	Summary	Labeler	NoRequestInContext	Urgent	NotRequest	Unsure/Discuss
1	Please forward back with any changes you might make.	Chris - Attached is the spreadsheet shared with KPMG.. Feel free to add anything else needed for settlement.. One area that we thought you could provided a lot of insight to is the upper/lower band and parameters needed for to figure these calculations hourly, daily, monthly, annually, etc.. .. Call if you have any questions.	Please forward back with any changes you might make.	Forward spreadsheet back to SENDER with changes	Rowan	1			
2	Please communicate with Mark Holsworth.	I agree with your proposal.	Please communicate with Mark Holsworth.	Communicate with Mark Holsworth	Rowan				
3	Andy - can you please forward this email to your book person to change these attached deals from ENA- PGL to ENA - and the actual counterparty.		Andy - can you please forward this email to your book person to change these attached deals from ENA- PGL to ENA - and the actual counterparty.	Forward email to book person to change deals	Rowan				
4	please schedule		please schedule	Please schedule	Rowan				
5	Could you give me a brief description of what this is?		Could you give me a brief description of what this is?	Describe this for SENDER	Rowan				
6	If you could also please copy Brian and myself with that	Clement, Sara and Tana, could each of you please e-mail to Cris Sherman as soon as possible the most recent versions of the documents each of you were preparing for the prepay transaction with RBC.. I think that amendments were made yesterday to the documents to account for the bank's comments but those updated drafts were not distributed once we realized the deal wasn't going to happen for today.	If you could also please copy Brian and myself with that e-mail so each of us have the most recent versions for when we revisit the structure next week.	Copy Brian and SENDER on email	Rowan				
7	Please make review and if	Please see the attached Alberta PPA presenation.	Please make review and if you have any modifications, please get with John as soon as possible.	Review Alberta PPA presentation	Rowan				
8	Could you check the work phone for Joseph Brophy.		Greetings Diane: Could you check the work phone for Joseph Brophy.	Check work phone for Joseph Brophy	Rowan				
9	Give me a call.	Dianne,. There doesn't seem to be a new March Aeco product set up.	Give me a call.	Call SENDER about March Aeco product	Rowan	1			
10	Please comment,	Here's my first cut at the Co-op City letter outlining the results of our meeting.. Some of the engineering numbers will be ready today, the rest by 9:00am Monday.	Please comment,	Review Alberta PPA presentation	Rowan	1			
11	Brant - Can you give us an update on Badak?		Brant - Can you give us an update on Badak?	Update SENDER about Badak	Rowan				
12	publications are available, please reply to this message with	Dear Mike,.  This e-mail is automated notification of the availability of your current Natural Gas Intelligence Newsletter s .. Please use your username of mgrigsby and your password to access.  NGI's Daily Gas Price Index.  http://intelligencepress.com/subscribers/index.html. If you have forgotten your password please visit http://intelligencepress.com/password.html and we will send it to you.	If you would like to stop receiving e-mail notifications when your publications are available, please reply to this message with REMOVE E-MAIL in the subject line.	Reply to unsubscribe	Rowan				
13	Jeff, can you verify the mdq's in yellow below?		Jeff, can you verify the mdq's in yellow below?	Verify mdq's in yellow	Rowan				
14	Please respond to drhunt@watervalley.net	I'll be there, too.	David Hunt drhunt@watervalley.net on 06/01/2001 05:01:40 PM Please respond to drhunt@watervalley.net To: Kay.Mann@enron.com cc:	Reply to drhunt@watervalley.net	Rowan	1			
15	Please re-issue today.	There are clearly many people rolling off early in this project who can be utilized for Phase II - I would suggest the specfication for Phase II is completed in the very near future as the majority of the work in this is done in the very short term by the developers and it moves to the test team.	Please re-issue today.	Reissue this today	Rowan	1			
16	Please, give me the number of copies and I can order on your behalf at 15%	Andy,	Please, give me the number of copies and I can order on your behalf at 15% discount.	Give number of copies to SENDER	Rowan	1			
17	Please co-ordinate with Robert and make sure that someone	Cindy, I have addressed this previously with Jeff and Louise Kitchen.. We have no interest.	Please co-ordinate with Robert and make sure that someone sends him a nice rejection letter.	Coordinate with Robert about rejection letter	Rowan	1			
18	Please call Ben Jacoby to get things going.	Thanks for agreeing to help.	Please call Ben Jacoby to get things going.	Call Ben Jacoby	Rowan	1			
